X_coordinate,Y_coordinate,state,code,name,zone,address
87.220491,21.79749,,JER,JALESWAR,,
80.893347,25.869213,,FYZ,FAIZULLAPUR,,
77.725934,11.327682,,ED,ERODE JN,,
75.4910470972,28.5690538031,Rajasthan,HR,Harpalu,NWR,"Bahal, Rajasthan"
80.977088,25.826999,,RUB,RASULABAD,,
81.03942,25.795325,,SNIE,SATH NARAINI,,
74.49801,15.754344,Karnataka,DUR,DESUR,SWR,"Desur, Karnataka"
74.855323,16.571697,Karnataka,CNC,CHINCHLI,SWR,"Belagavi, Karnataka"
78.656727,28.989821,,MTB,MATLABPUR,,
78.621471,29.059768,,KNT,KANTH,,
78.613167,29.118385,,MWE,MEWA NAWADA,,
78.580977,29.204807,,SEO,SEOHARA,,
78.536047,29.249784,,CAJ,CHAKRAJ MAL,,
78.501588,29.305446,,DPR,DHAMPUR,,
78.478973,29.349034,,HBW,HABIBWALA,,
71.381719,21.237962,Gujarat,GKD,GADHAKDA,WR,"Gadhakada Rd, Gujarat"
78.445574,29.388929,,PNI,PURAINI,,
78.424119,29.437919,,NGG,NAGINA,,
78.3932854,29.522577,,BEK,BUNDKI,,
82.4272883557,25.280144011,Uttar Pradesh,GYN,GYANPUR ROAD,NER,"Bhadohi District, Uttar Pradesh"
78.3756456903,29.57239523,,MSDR,MURSHADPUR,,
78.335733,29.60354,,NBD,NAJIBABAD JN,,
78.2779537213,29.5937410175,,FZL,FAZALPUR,,
78.152782,29.576786,,CNK,CHANDOK,,
78.1124328,29.6274345,,BLW,BALAWALI,,
78.0664335504,29.6928321018,,RSI,RAISI,,
70.9720505023,23.5529783995,Gujarat,AAR,ADESAR,WR,"Dist. Kachchh, Gujarat"
75.812314,14.515431,Karnataka,HRR,HARIHAR,SWR,"Harihar, Karnataka"
84.1072235,18.66763705,Andhra Pradesh,GVA,Ganguwada,ECoR,"Ganguwada, Andhra Pradesh"
76.580745,21.629554,Madhya Pradesh,GUX,Gurhi,SCR,"Khandwa, Madhya Pradesh"
74.297633,29.614904,Rajasthan,HMH,HANUMANGARH JN,NWR,"Hanumangarh, Rajasthan"
76.207343,10.979489,Kerala,AAM,Angadippuram,SR,"Angadipuram, Kerala"
75.785761,31.016907,,PHR,PHILLAUR JN,,
75.785811,31.016957,,LDW,LADHOWAL,,
75.847873,30.912367,,LDH,LUDHIANA JN,,
75.87188,30.894741,,BHOI,DHANDARIKALAN BLOCK HUT,,
76.8767,21.186952,Maharashtra,HKR,Kiwar Khed,SCR,"State Highway 194, Maharashtra"
75.909491,30.874477,,DDL,DHANDARI KALAN,,
75.9795,30.837436,,SNL,SANAHWAL,,
76.043303,30.804137,,DOA,DORAHA,,
76.0801522656,30.7847375851,,JSPN,JASPALON,,
76.127464975,30.7594625741,,CHA,CHAWAPALL,,
76.225134,30.707973,,KNN,KHANNA,,
76.2970739075,30.6694834261,,GVG,GOVINDGARH,,
76.383194,30.624222,,SIR,SIRHIND JN,,
76.4484725964,30.5828632034,,SDY,SADHOO GARH,,
76.515682,30.538386,,SBJ,SARAI BANJARA,,
76.5940201901,30.486458949,,RPJ,RAJPURA JN,,
76.684143667,30.4290274715,,SMU,SAMBHU,,
77.738546,29.896398,,CDL,CHODIALA,,
77.803799,29.875114,,IQB,IQBALPUR,,
77.87417,29.851671,,RK,ROORKEE,,
77.9019227979,29.8434029837,,DNRA,DHANDHERA,,
77.979636,29.784745,,DSNI,DAUSNI,,
77.203824,12.659673,Karnataka,CPT,CHANNAPATNA,SWR,"Channapatna, Karnataka"
78.796689,28.826066,,KGF,KATHGHAR,,
78.877187,28.820438,,DLP,DALPATPUR,,
78.939038,28.800367,,MPH,MUNDHA PANDE,,
79.023419,28.778863,,RMU,RAMPUR,,
79.052147,28.750033,,SAR,SHAHZAD NAGAR,,
79.087745,28.707129,,DAM,DHAMORA,,
84.9690033484,25.751433665,,AABH,AMBIKA BHAWANI HALT,,
85.003168,25.743938,,DGA,DIGHWARA,,
85.036638,25.76874,,STLR,SITALPUR,,
84.906874,26.581722,Bihar,JDR,JIWDHARA,ECR,"Jiwdhara, Bihar"
78.702865,28.939542,,AWP,AGHWANPUR,,
72.913948,23.390711,Gujarat,KIA,KHARI AMRAPUR,WR,"State Highway 237, Gujarat"
75.719362,16.802926,Karnataka,IMR,IBRAHIMPUR,SWR,"Bijapur, Karnataka"
70.457612,21.530606,Gujarat,JND,JUNAGADH JN,WR,"Junagadh, Gujarat"
71.6324910046,21.8163569109,Gujarat,JA,JALIYA,WR,"Ranuja Village Rd, Gujarat"
80.877069,16.479094,Andhra Pradesh,IDP,INDUPALLI,SCR,"Krishna, Andhra Pradesh"
77.351193,13.216441,Karnataka,DBL,DODBELE,SWR,"National Highway 4, Karnataka"
83.848303,25.021489,,KVD,KHURMABAD ROAD,,
86.410031,23.715139,Jharkhand,JBO,Jamadobu,SER,"Jharia, Jharkhand"
83.793371,25.048552,,KTQ,KUDRA,,
83.72151,25.097235,,PSE,PUSAULI,,
81.211206,16.797409,,STPT,SITAMPET,,
88.098669,23.749987,West Bengal,JHBN,JHAMATPUR BAHARAN,ER,"Goai, West Bengal"
76.763996,30.378497,,UBC,AMBALA CITY,,
88.461461,23.098255,West Bengal,JIT,JIRAT,ER,"Jirat, West Bengal"
81.26109679,16.80848173,,BMD,BHIMADOLU,,
75.2010774705559,27.7316180013968,Rajasthan,JDD,Jerthi Dadhia,NWR,"MDR 87, Rajasthan"
87.250953,21.842011,,LXD,LAKSHANNATH ROAD,,
92.81771,26.028001,Assam,JGJN,JUGIJAN,NFR,"National Highway 36, Assam"
93.9604479663,26.3877071452,Assam,JMI,JAMGURI,NFR,"National Highway 39, Assam"
73.897226,15.344532,Goa,CSM,CANSAULIM,SWR,"Arossim Beach Rd, Goa"
78.42955,25.211179,,BPW,BURHPURA,,
80.767021,26.318344,Uttar Pradesh,IDM,Indemau,NR,"Indemau, Uttar Pradesh"
81.728838,27.139983,,KSR,KASTURI,,
81.773788,27.141734,,MIR,MAIJAPUR,,
78.592052,22.191279,Madhya Pradesh,JNO,Junnor Deo,CR,"Dongar Parasia, Madhya Pradesh"
81.9340268811,27.1402272205,,GDK,GONDA KACHAHRI,,
82.055181,27.122672,,BRCK,BARUACHAK,,
